ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5862643,HN662411,10/22/2007 12:40:00 AM,010XX N AVERS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1150531,1906590,2007,04/15/2016 08:55:02 AM,41.899583367,-87.722545587,"(41.899583367, -87.722545587)"
5862723,HN663098,10/22/2007 12:30:00 PM,009XX N KARLOV AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1111,011,37,23,19,1148882,1905903,2007,04/15/2016 08:55:02 AM,41.897730224,-87.728620196,"(41.897730224, -87.728620196)"
5862851,HN669753,10/25/2007 08:22:42 PM,062XX S PAULINA ST,1661,GAMBLING,GAME/DICE,OTHER,true,false,0714,007,15,67,19,1166080,1863302,2007,04/15/2016 08:55:02 AM,41.780478851,-87.666668271,"(41.780478851, -87.666668271)"
5864178,HN664229,10/22/2007 10:55:00 PM,079XX S INDIANA AVE,1661,GAMBLING,GAME/DICE,OTHER,true,false,0623,006,6,44,19,1178966,1852482,2007,04/15/2016 08:55:02 AM,41.750503749,-87.619755289,"(41.750503749, -87.619755289)"
5864461,HN669472,10/25/2007 05:54:08 PM,002XX N LEAMINGTON AVE,1661,GAMBLING,GAME/DICE,ALLEY,true,false,1532,015,28,25,19,1142002,1901110,2007,04/15/2016 08:55:02 AM,41.884707948,-87.754008847,"(41.884707948, -87.754008847)"
5864502,HN669223,10/25/2007 03:47:14 PM,055XX W QUINCY ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1522,015,29,25,19,1139602,1898454,2007,04/15/2016 08:55:02 AM,41.877463662,-87.762886951,"(41.877463662, -87.762886951)"
5864769,HN669522,10/25/2007 06:08:54 PM,050XX W SUPERIOR ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1531,015,28,25,19,1142687,1904504,2007,04/15/2016 08:55:02 AM,41.894008772,-87.751408873,"(41.894008772, -87.751408873)"
5866400,HN533510,08/16/2007 10:10:00 PM,015XX S KEELER AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1012,010,24,29,19,1148637,1892112,2007,04/15/2016 08:55:02 AM,41.859890885,-87.729876215,"(41.859890885, -87.729876215)"
5867514,HN659130,10/20/2007 09:30:00 AM,047XX S ASHLAND AVE,1626,GAMBLING,ILLEGAL ILL LOTTERY,STREET,true,false,0931,009,20,61,19,1166467,1873388,2007,04/15/2016 08:55:02 AM,41.808147803,-87.664961971,"(41.808147803, -87.664961971)"
5867835,HN672303,10/27/2007 01:00:00 AM,074XX S CHAPPEL AVE,1651,GAMBLING,GAME/CARDS,SIDEWALK,true,false,0333,003,5,43,19,1191165,1856167,2007,04/15/2016 08:55:02 AM,41.760329375,-87.574934094,"(41.760329375, -87.574934094)"
5868406,HN665913,10/23/2007 07:40:00 PM,053XX W RACE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1523,015,37,25,19,1140596,1903036,2007,04/15/2016 08:55:02 AM,41.890019061,-87.759124629,"(41.890019061, -87.759124629)"
5869395,HN664131,10/22/2007 09:50:43 PM,052XX W MADISON ST,1630,GAMBLING,WIREROOM/HORSES,STREET,true,false,1522,015,29,25,19,1141144,1899515,2007,04/15/2016 08:55:02 AM,41.880346918,-87.757198912,"(41.880346918, -87.757198912)"
5870726,HN668952,10/25/2007 01:00:00 PM,022XX W GARFIELD BLVD,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0915,009,16,63,19,1162241,1868144,2007,04/15/2016 08:55:02 AM,41.79384675,-87.680608,"(41.79384675, -87.680608)"
